"seqnames"	"start"	"end"	"width"	"strand"	"L"
"32"	"chr1"	"1143085"	"1144581"	"1497"	"*"	"22"
"33"	"chr1"	"1161322"	"1175820"	"14499"	"*"	"301"
"34"	"chr1"	"1179145"	"1180168"	"1024"	"*"	"46"
"35"	"chr1"	"1182040"	"1185830"	"3791"	"*"	"53"
"36"	"chr1"	"1204223"	"1211464"	"7242"	"*"	"94"
"37"	"chr1"	"1213676"	"1215557"	"1882"	"*"	"46"
"38"	"chr1"	"1217900"	"1220100"	"2201"	"*"	"37"
"39"	"chr1"	"1222143"	"1234720"	"12578"	"*"	"245"
"40"	"chr1"	"1237867"	"1242900"	"5034"	"*"	"51"
"41"	"chr1"	"1250293"	"1255646"	"5354"	"*"	"147"
"42"	"chr1"	"1260110"	"1264416"	"4307"	"*"	"47"
"43"	"chr1"	"1266195"	"1268965"	"2771"	"*"	"49"
"44"	"chr1"	"1270928"	"1274834"	"3907"	"*"	"114"
"45"	"chr1"	"1279202"	"1282311"	"3110"	"*"	"32"
"46"	"chr1"	"1291396"	"1293064"	"1669"	"*"	"45"
"47"	"chr1"	"1303200"	"1304620"	"1421"	"*"	"28"
"48"	"chr1"	"1307979"	"1313806"	"5828"	"*"	"90"
"49"	"chr1"	"1325925"	"1327933"	"2009"	"*"	"34"
"50"	"chr1"	"1329781"	"1334788"	"5008"	"*"	"161"
"51"	"chr1"	"1337031"	"1340681"	"3651"	"*"	"21"
"52"	"chr1"	"1344709"	"1349082"	"4374"	"*"	"47"
"53"	"chr1"	"1351871"	"1355370"	"3500"	"*"	"26"
"54"	"chr1"	"1357246"	"1362180"	"4935"	"*"	"62"
"55"	"chr1"	"1371539"	"1377802"	"6264"	"*"	"180"
"56"	"chr1"	"1386433"	"1387855"	"1423"	"*"	"89"
"57"	"chr1"	"1390653"	"1393770"	"3118"	"*"	"70"
"58"	"chr1"	"1398349"	"1402225"	"3877"	"*"	"170"
"59"	"chr1"	"1406432"	"1409792"	"3361"	"*"	"158"
"60"	"chr1"	"1418128"	"1418394"	"267"	"*"	"31"
"61"	"chr1"	"1421185"	"1422846"	"1662"	"*"	"34"
"62"	"chr1"	"1436414"	"1442732"	"6319"	"*"	"88"
"63"	"chr1"	"1448588"	"1457072"	"8485"	"*"	"132"
"64"	"chr1"	"1460605"	"1462988"	"2384"	"*"	"85"
"65"	"chr1"	"1471133"	"1472824"	"1692"	"*"	"106"
"66"	"chr1"	"1475469"	"1478585"	"3117"	"*"	"36"
"67"	"chr1"	"1480467"	"1482093"	"1627"	"*"	"43"
"68"	"chr1"	"1483913"	"1488404"	"4492"	"*"	"75"
"69"	"chr1"	"1490315"	"1490800"	"486"	"*"	"22"
"70"	"chr1"	"1501781"	"1505919"	"4139"	"*"	"40"
"71"	"chr1"	"1509037"	"1525344"	"16308"	"*"	"328"
"72"	"chr1"	"1527561"	"1529880"	"2320"	"*"	"41"
"73"	"chr1"	"1535512"	"1545278"	"9767"	"*"	"178"
"74"	"chr1"	"1547731"	"1547930"	"200"	"*"	"27"
"75"	"chr1"	"1551003"	"1557139"	"6137"	"*"	"132"
"76"	"chr1"	"1559172"	"1567503"	"8332"	"*"	"115"
"77"	"chr1"	"1573915"	"1575611"	"1697"	"*"	"154"
"78"	"chr1"	"1598448"	"1602243"	"3796"	"*"	"92"
"79"	"chr1"	"1614159"	"1618050"	"3892"	"*"	"150"
"80"	"chr1"	"1621320"	"1625152"	"3833"	"*"	"20"
"81"	"chr1"	"1627132"	"1631753"	"4622"	"*"	"60"
"82"	"chr1"	"1636346"	"1637829"	"1484"	"*"	"50"
"83"	"chr1"	"1640738"	"1643581"	"2844"	"*"	"24"
"84"	"chr1"	"1651341"	"1652299"	"959"	"*"	"48"
"85"	"chr1"	"1658374"	"1660193"	"1820"	"*"	"149"
"86"	"chr1"	"1665639"	"1666282"	"644"	"*"	"26"
"87"	"chr1"	"1668458"	"1675144"	"6687"	"*"	"216"
"88"	"chr1"	"1678091"	"1684357"	"6267"	"*"	"86"
"89"	"chr1"	"1692315"	"1693110"	"796"	"*"	"87"
"90"	"chr1"	"1696717"	"1699649"	"2933"	"*"	"30"
"91"	"chr1"	"1703489"	"1704971"	"1483"	"*"	"29"
"92"	"chr1"	"1717745"	"1719188"	"1444"	"*"	"54"
"93"	"chr1"	"1723701"	"1725505"	"1805"	"*"	"139"
"94"	"chr1"	"1734833"	"1738109"	"3277"	"*"	"87"
"95"	"chr1"	"1746154"	"1746388"	"235"	"*"	"42"
"96"	"chr1"	"1751693"	"1760692"	"9000"	"*"	"193"
"97"	"chr1"	"1763941"	"1765326"	"1386"	"*"	"37"
"98"	"chr1"	"1777671"	"1783633"	"5963"	"*"	"87"
"99"	"chr1"	"1786365"	"1789156"	"2792"	"*"	"40"
"100"	"chr1"	"1906419"	"1909986"	"3568"	"*"	"43"
"101"	"chr1"	"1912453"	"1915176"	"2724"	"*"	"37"
"102"	"chr1"	"1917635"	"1920181"	"2547"	"*"	"75"
"103"	"chr1"	"1923011"	"1930553"	"7543"	"*"	"103"
"104"	"chr1"	"1936983"	"1947189"	"10207"	"*"	"206"
"105"	"chr1"	"1954998"	"1958802"	"3805"	"*"	"102"
"106"	"chr1"	"1962057"	"1966559"	"4503"	"*"	"84"
"107"	"chr1"	"1974158"	"1977738"	"3581"	"*"	"56"
"108"	"chr1"	"1979567"	"1986513"	"6947"	"*"	"146"
"109"	"chr1"	"1988909"	"1989469"	"561"	"*"	"28"
"110"	"chr1"	"2003505"	"2005375"	"1871"	"*"	"62"
"111"	"chr1"	"2014431"	"2015301"	"871"	"*"	"66"
"112"	"chr1"	"2017802"	"2018750"	"949"	"*"	"25"
"113"	"chr1"	"2021980"	"2030689"	"8710"	"*"	"188"
"114"	"chr1"	"2041267"	"2045272"	"4006"	"*"	"69"
"115"	"chr1"	"2049722"	"2051633"	"1912"	"*"	"60"
"116"	"chr1"	"2054061"	"2057468"	"3408"	"*"	"59"
"117"	"chr1"	"2059341"	"2062094"	"2754"	"*"	"109"
"118"	"chr1"	"2067166"	"2077210"	"10045"	"*"	"320"
"119"	"chr1"	"2079193"	"2089695"	"10503"	"*"	"251"
"120"	"chr1"	"2091474"	"2100668"	"9195"	"*"	"189"
"121"	"chr1"	"2103919"	"2117612"	"13694"	"*"	"216"
"122"	"chr1"	"2124598"	"2129231"	"4634"	"*"	"98"
"123"	"chr1"	"2131122"	"2135670"	"4549"	"*"	"174"
"124"	"chr1"	"2141828"	"2142547"	"720"	"*"	"30"
"125"	"chr1"	"2148613"	"2154348"	"5736"	"*"	"110"
"126"	"chr1"	"2157185"	"2163135"	"5951"	"*"	"96"
"127"	"chr1"	"2165104"	"2191279"	"26176"	"*"	"559"
"128"	"chr1"	"2193580"	"2196152"	"2573"	"*"	"41"
"129"	"chr1"	"2203881"	"2208511"	"4631"	"*"	"72"
"130"	"chr1"	"2211095"	"2213838"	"2744"	"*"	"33"
"131"	"chr1"	"2229170"	"2234716"	"5547"	"*"	"133"
"132"	"chr1"	"2237775"	"2243546"	"5772"	"*"	"91"
"133"	"chr1"	"2248428"	"2252096"	"3669"	"*"	"79"
"134"	"chr1"	"2256018"	"2260287"	"4270"	"*"	"116"
"135"	"chr1"	"2267267"	"2267495"	"229"	"*"	"25"
"136"	"chr1"	"2269377"	"2278568"	"9192"	"*"	"182"
"137"	"chr1"	"2286898"	"2291325"	"4428"	"*"	"91"
"138"	"chr1"	"2293239"	"2293915"	"677"	"*"	"36"
"139"	"chr1"	"2296643"	"2315647"	"19005"	"*"	"239"
"140"	"chr1"	"2318922"	"2328538"	"9617"	"*"	"194"
"141"	"chr1"	"2330748"	"2335187"	"4440"	"*"	"131"
"142"	"chr1"	"2338348"	"2340307"	"1960"	"*"	"95"
"143"	"chr1"	"2342127"	"2345582"	"3456"	"*"	"107"
"144"	"chr1"	"2347955"	"2357033"	"9079"	"*"	"152"
"145"	"chr1"	"2372451"	"2373679"	"1229"	"*"	"54"
"146"	"chr1"	"2378575"	"2378989"	"415"	"*"	"45"
"147"	"chr1"	"2380947"	"2383999"	"3053"	"*"	"29"
"148"	"chr1"	"2387168"	"2393945"	"6778"	"*"	"223"
"149"	"chr1"	"2396208"	"2398324"	"2117"	"*"	"77"
"150"	"chr1"	"2400512"	"2415657"	"15146"	"*"	"383"
"151"	"chr1"	"2418052"	"2418811"	"760"	"*"	"50"
"152"	"chr1"	"2426116"	"2428687"	"2572"	"*"	"52"
"153"	"chr1"	"2430964"	"2434410"	"3447"	"*"	"49"
"154"	"chr1"	"2439546"	"2442055"	"2510"	"*"	"48"
"155"	"chr1"	"2448375"	"2452114"	"3740"	"*"	"39"
"156"	"chr1"	"2459175"	"2460399"	"1225"	"*"	"44"
"157"	"chr1"	"2473509"	"2482267"	"8759"	"*"	"64"
"158"	"chr1"	"2493183"	"2494639"	"1457"	"*"	"41"
"159"	"chr1"	"2496676"	"2497651"	"976"	"*"	"53"
"160"	"chr1"	"2499946"	"2505808"	"5863"	"*"	"73"
"161"	"chr1"	"2508509"	"2509197"	"689"	"*"	"67"
"162"	"chr1"	"2513205"	"2535830"	"22626"	"*"	"441"
"163"	"chr1"	"2538017"	"2541879"	"3863"	"*"	"26"
"164"	"chr1"	"2546626"	"2552508"	"5883"	"*"	"63"
"165"	"chr1"	"2569172"	"2570609"	"1438"	"*"	"60"
"166"	"chr1"	"2584176"	"2587045"	"2870"	"*"	"77"
"167"	"chr1"	"2605209"	"2606430"	"1222"	"*"	"31"
"168"	"chr1"	"2609587"	"2611174"	"1588"	"*"	"37"
"169"	"chr1"	"2627835"	"2629764"	"1930"	"*"	"34"
"170"	"chr1"	"2632840"	"2634377"	"1538"	"*"	"23"
"171"	"chr1"	"2639790"	"2643462"	"3673"	"*"	"47"
"172"	"chr1"	"2652261"	"2655149"	"2889"	"*"	"34"
"173"	"chr1"	"2787789"	"2791028"	"3240"	"*"	"66"
"174"	"chr1"	"2803268"	"2804323"	"1056"	"*"	"28"
"175"	"chr1"	"2806228"	"2809303"	"3076"	"*"	"60"
"176"	"chr1"	"2813320"	"2817081"	"3762"	"*"	"83"
"177"	"chr1"	"2820045"	"2820443"	"399"	"*"	"41"
"178"	"chr1"	"2833841"	"2834764"	"924"	"*"	"25"
"179"	"chr1"	"2848034"	"2850817"	"2784"	"*"	"88"
"180"	"chr1"	"2854831"	"2855814"	"984"	"*"	"63"
"181"	"chr1"	"2857715"	"2868902"	"11188"	"*"	"129"
"182"	"chr1"	"2876046"	"2877612"	"1567"	"*"	"54"
"183"	"chr1"	"2883000"	"2886113"	"3114"	"*"	"85"
"184"	"chr1"	"2894787"	"2895096"	"310"	"*"	"32"
"185"	"chr1"	"2903367"	"2908652"	"5286"	"*"	"163"
"186"	"chr1"	"2910434"	"2913212"	"2779"	"*"	"95"
"187"	"chr1"	"2917393"	"2920160"	"2768"	"*"	"95"
"188"	"chr1"	"2922122"	"2923860"	"1739"	"*"	"86"
"189"	"chr1"	"2926104"	"2936846"	"10743"	"*"	"230"
"190"	"chr1"	"2943002"	"2943270"	"269"	"*"	"31"
"191"	"chr1"	"2946507"	"2947608"	"1102"	"*"	"49"
"192"	"chr1"	"2959694"	"2962342"	"2649"	"*"	"37"
"193"	"chr1"	"2966212"	"2970358"	"4147"	"*"	"92"
"194"	"chr1"	"2979999"	"2980370"	"372"	"*"	"34"
"195"	"chr1"	"2982650"	"2985422"	"2773"	"*"	"43"
"196"	"chr1"	"3001542"	"3006143"	"4602"	"*"	"112"
"197"	"chr1"	"3011553"	"3013775"	"2223"	"*"	"80"
"198"	"chr1"	"3019748"	"3024861"	"5114"	"*"	"151"
"199"	"chr1"	"3030137"	"3033144"	"3008"	"*"	"73"
"200"	"chr1"	"3037454"	"3037974"	"521"	"*"	"33"
"201"	"chr1"	"3060141"	"3071473"	"11333"	"*"	"213"
"202"	"chr1"	"3073386"	"3073588"	"203"	"*"	"31"
"203"	"chr1"	"3075830"	"3084629"	"8800"	"*"	"170"
"204"	"chr1"	"3086655"	"3087242"	"588"	"*"	"28"
"205"	"chr1"	"3089729"	"3091533"	"1805"	"*"	"61"
"206"	"chr1"	"3094318"	"3094779"	"462"	"*"	"36"
"207"	"chr1"	"3099701"	"3101307"	"1607"	"*"	"24"
"208"	"chr1"	"3111645"	"3112617"	"973"	"*"	"85"
"209"	"chr1"	"3114882"	"3117723"	"2842"	"*"	"34"
"210"	"chr1"	"3119711"	"3123163"	"3453"	"*"	"116"
"211"	"chr1"	"3125502"	"3126020"	"519"	"*"	"23"
"212"	"chr1"	"3128088"	"3128640"	"553"	"*"	"43"
"213"	"chr1"	"3130832"	"3131235"	"404"	"*"	"28"
"214"	"chr1"	"3134251"	"3143303"	"9053"	"*"	"249"
"215"	"chr1"	"3145868"	"3147940"	"2073"	"*"	"29"
"216"	"chr1"	"3153773"	"3157414"	"3642"	"*"	"111"
"217"	"chr1"	"3159202"	"3173897"	"14696"	"*"	"301"
"218"	"chr1"	"3177922"	"3192331"	"14410"	"*"	"263"
"219"	"chr1"	"3194184"	"3199101"	"4918"	"*"	"95"
"220"	"chr1"	"3203430"	"3204555"	"1126"	"*"	"36"
"221"	"chr1"	"3206425"	"3209716"	"3292"	"*"	"142"
"222"	"chr1"	"3211503"	"3214083"	"2581"	"*"	"129"
"223"	"chr1"	"3215894"	"3220054"	"4161"	"*"	"125"
"224"	"chr1"	"3221991"	"3232332"	"10342"	"*"	"312"
"225"	"chr1"	"3236541"	"3248951"	"12411"	"*"	"397"
"226"	"chr1"	"3264968"	"3268508"	"3541"	"*"	"122"
"227"	"chr1"	"3274642"	"3280299"	"5658"	"*"	"169"
"228"	"chr1"	"3282774"	"3293943"	"11170"	"*"	"149"
"229"	"chr1"	"3296763"	"3297266"	"504"	"*"	"41"
"230"	"chr1"	"3299086"	"3300655"	"1570"	"*"	"26"
"231"	"chr1"	"3311175"	"3314130"	"2956"	"*"	"149"
"232"	"chr1"	"3317354"	"3318205"	"852"	"*"	"42"
"233"	"chr1"	"3320105"	"3327079"	"6975"	"*"	"87"
"234"	"chr1"	"3355555"	"3361144"	"5590"	"*"	"195"
"235"	"chr1"	"3364056"	"3367005"	"2950"	"*"	"87"
"236"	"chr1"	"3373182"	"3373486"	"305"	"*"	"27"
"237"	"chr1"	"3384825"	"3393879"	"9055"	"*"	"244"
"238"	"chr1"	"3397795"	"3399017"	"1223"	"*"	"51"
"239"	"chr1"	"3402700"	"3408181"	"5482"	"*"	"144"
"240"	"chr1"	"3410769"	"3419338"	"8570"	"*"	"93"
"241"	"chr1"	"3423269"	"3428373"	"5105"	"*"	"91"
"242"	"chr1"	"3430525"	"3437989"	"7465"	"*"	"180"
"243"	"chr1"	"3454217"	"3458388"	"4172"	"*"	"23"
"244"	"chr1"	"3460174"	"3468406"	"8233"	"*"	"123"
"245"	"chr1"	"3471349"	"3480642"	"9294"	"*"	"86"
"246"	"chr1"	"3482684"	"3485252"	"2569"	"*"	"68"
"247"	"chr1"	"3499109"	"3502092"	"2984"	"*"	"38"
"248"	"chr1"	"3504240"	"3505104"	"865"	"*"	"21"
"249"	"chr1"	"3507791"	"3511097"	"3307"	"*"	"52"
"250"	"chr1"	"3519323"	"3519736"	"414"	"*"	"40"
"251"	"chr1"	"3528418"	"3533319"	"4902"	"*"	"30"
"252"	"chr1"	"3541741"	"3553622"	"11882"	"*"	"84"
"253"	"chr1"	"3555640"	"3557863"	"2224"	"*"	"58"
"254"	"chr1"	"3578975"	"3579576"	"602"	"*"	"25"
"255"	"chr1"	"3581450"	"3584834"	"3385"	"*"	"36"
"256"	"chr1"	"3586916"	"3587775"	"860"	"*"	"29"
"257"	"chr1"	"3589708"	"3590681"	"974"	"*"	"33"
"258"	"chr1"	"3593149"	"3595704"	"2556"	"*"	"38"
"259"	"chr1"	"3598300"	"3598630"	"331"	"*"	"42"
"260"	"chr1"	"3606122"	"3616429"	"10308"	"*"	"118"
"261"	"chr1"	"3621262"	"3629174"	"7913"	"*"	"153"
"262"	"chr1"	"3630959"	"3653210"	"22252"	"*"	"829"
"263"	"chr1"	"3658372"	"3659451"	"1080"	"*"	"53"
"264"	"chr1"	"3663242"	"3664817"	"1576"	"*"	"22"
"265"	"chr1"	"3673340"	"3674374"	"1035"	"*"	"22"
"266"	"chr1"	"3689156"	"3693295"	"4140"	"*"	"59"
"267"	"chr1"	"3697147"	"3701418"	"4272"	"*"	"89"
"268"	"chr1"	"3703648"	"3710509"	"6862"	"*"	"103"
"269"	"chr1"	"3714252"	"3718660"	"4409"	"*"	"31"
"270"	"chr1"	"3730613"	"3733510"	"2898"	"*"	"81"
"271"	"chr1"	"3745292"	"3748945"	"3654"	"*"	"149"
"272"	"chr1"	"3750905"	"3752812"	"1908"	"*"	"47"
"273"	"chr1"	"3756488"	"3756899"	"412"	"*"	"35"
"274"	"chr1"	"3763686"	"3763925"	"240"	"*"	"31"
"275"	"chr1"	"3768731"	"3781140"	"12410"	"*"	"153"
"276"	"chr1"	"3784046"	"3790681"	"6636"	"*"	"187"
"277"	"chr1"	"3795684"	"3797158"	"1475"	"*"	"147"
"278"	"chr1"	"3800418"	"3802007"	"1590"	"*"	"45"
"279"	"chr1"	"3803923"	"3806904"	"2982"	"*"	"58"
"280"	"chr1"	"3814626"	"3818446"	"3821"	"*"	"123"
"281"	"chr1"	"3821756"	"3823670"	"1915"	"*"	"56"
"282"	"chr1"	"3855914"	"3861745"	"5832"	"*"	"202"
"283"	"chr1"	"3870963"	"3875692"	"4730"	"*"	"100"
"284"	"chr1"	"3884242"	"3885240"	"999"	"*"	"24"
"285"	"chr1"	"3889394"	"3896353"	"6960"	"*"	"130"
"286"	"chr1"	"3899602"	"3907892"	"8291"	"*"	"201"
"287"	"chr1"	"3909788"	"3912579"	"2792"	"*"	"107"
"288"	"chr1"	"3914389"	"3916629"	"2241"	"*"	"47"
"289"	"chr1"	"3940051"	"3940623"	"573"	"*"	"25"
"290"	"chr1"	"3943912"	"3944439"	"528"	"*"	"22"
"291"	"chr1"	"3976364"	"3977177"	"814"	"*"	"26"
"292"	"chr1"	"4008260"	"4008628"	"369"	"*"	"21"
"293"	"chr1"	"4018889"	"4019147"	"259"	"*"	"23"
"294"	"chr1"	"4027107"	"4027673"	"567"	"*"	"31"
"295"	"chr1"	"4127705"	"4128700"	"996"	"*"	"35"
"296"	"chr1"	"4131120"	"4135510"	"4391"	"*"	"103"
"297"	"chr1"	"4159011"	"4163922"	"4912"	"*"	"77"
"298"	"chr1"	"4170567"	"4171321"	"755"	"*"	"39"
"299"	"chr1"	"4330361"	"4332192"	"1832"	"*"	"20"
"300"	"chr1"	"4407913"	"4408157"	"245"	"*"	"27"
"301"	"chr1"	"4410896"	"4412128"	"1233"	"*"	"49"
"302"	"chr1"	"4425344"	"4425673"	"330"	"*"	"26"
"303"	"chr1"	"4481389"	"4482750"	"1362"	"*"	"33"
"304"	"chr1"	"4517204"	"4517411"	"208"	"*"	"27"
"305"	"chr1"	"4583956"	"4585510"	"1555"	"*"	"33"
"306"	"chr1"	"4599539"	"4602089"	"2551"	"*"	"48"
"307"	"chr1"	"4637793"	"4638500"	"708"	"*"	"38"
"308"	"chr1"	"4652226"	"4658650"	"6425"	"*"	"147"
"309"	"chr1"	"4675943"	"4676250"	"308"	"*"	"27"
"310"	"chr1"	"4689059"	"4689733"	"675"	"*"	"42"
"311"	"chr1"	"4708265"	"4713116"	"4852"	"*"	"99"
"312"	"chr1"	"4733972"	"4735088"	"1117"	"*"	"59"
"313"	"chr1"	"4770329"	"4772910"	"2582"	"*"	"70"
"314"	"chr1"	"4774860"	"4777476"	"2617"	"*"	"54"
"315"	"chr1"	"4781853"	"4784076"	"2224"	"*"	"75"
"316"	"chr1"	"5160552"	"5161405"	"854"	"*"	"23"
"317"	"chr1"	"5423215"	"5423843"	"629"	"*"	"20"
"318"	"chr1"	"5479787"	"5480996"	"1210"	"*"	"74"
"319"	"chr1"	"5525982"	"5526362"	"381"	"*"	"29"
"320"	"chr1"	"5601684"	"5601947"	"264"	"*"	"21"
"321"	"chr1"	"5667292"	"5669038"	"1747"	"*"	"24"
"322"	"chr1"	"5708318"	"5714251"	"5934"	"*"	"68"
"323"	"chr1"	"5717752"	"5719394"	"1643"	"*"	"46"
"324"	"chr1"	"5745195"	"5747006"	"1812"	"*"	"27"
"325"	"chr1"	"5756836"	"5757457"	"622"	"*"	"51"
"326"	"chr1"	"5833413"	"5836674"	"3262"	"*"	"72"
"327"	"chr1"	"5847264"	"5847551"	"288"	"*"	"33"
"328"	"chr1"	"5857156"	"5863931"	"6776"	"*"	"168"
"329"	"chr1"	"5865780"	"5867933"	"2154"	"*"	"46"
"330"	"chr1"	"5871292"	"5873043"	"1752"	"*"	"83"
"331"	"chr1"	"5874882"	"5877677"	"2796"	"*"	"90"
"332"	"chr1"	"5880113"	"5899269"	"19157"	"*"	"420"
"333"	"chr1"	"5908561"	"5908776"	"216"	"*"	"25"
"334"	"chr1"	"5911330"	"5912168"	"839"	"*"	"43"
"335"	"chr1"	"5949765"	"5951325"	"1561"	"*"	"27"
"336"	"chr1"	"5975489"	"5977255"	"1767"	"*"	"47"
"337"	"chr1"	"5990177"	"5992685"	"2509"	"*"	"94"
"338"	"chr1"	"5994619"	"5996529"	"1911"	"*"	"32"
"339"	"chr1"	"5998992"	"6004108"	"5117"	"*"	"73"
"340"	"chr1"	"6025739"	"6029447"	"3709"	"*"	"91"
"341"	"chr1"	"6033710"	"6034278"	"569"	"*"	"27"
"342"	"chr1"	"6044943"	"6046559"	"1617"	"*"	"42"
"343"	"chr1"	"6051322"	"6053028"	"1707"	"*"	"47"
"344"	"chr1"	"6069147"	"6074404"	"5258"	"*"	"118"
"345"	"chr1"	"6077649"	"6080566"	"2918"	"*"	"59"
"346"	"chr1"	"6088920"	"6089546"	"627"	"*"	"33"
"347"	"chr1"	"6093013"	"6094542"	"1530"	"*"	"31"
"348"	"chr1"	"6109315"	"6111808"	"2494"	"*"	"28"
"349"	"chr1"	"6128048"	"6129244"	"1197"	"*"	"48"
"350"	"chr1"	"6136912"	"6138742"	"1831"	"*"	"23"
"351"	"chr1"	"6141724"	"6148965"	"7242"	"*"	"116"
"352"	"chr1"	"6175951"	"6181484"	"5534"	"*"	"63"
"353"	"chr1"	"6184460"	"6186281"	"1822"	"*"	"27"
"354"	"chr1"	"6197305"	"6201087"	"3783"	"*"	"135"
"355"	"chr1"	"6204953"	"6211701"	"6749"	"*"	"221"
"356"	"chr1"	"6224737"	"6225120"	"384"	"*"	"32"
"357"	"chr1"	"6233281"	"6248260"	"14980"	"*"	"245"
"358"	"chr1"	"6253599"	"6254683"	"1085"	"*"	"53"
"359"	"chr1"	"6268669"	"6270461"	"1793"	"*"	"33"
"360"	"chr1"	"6273362"	"6273880"	"519"	"*"	"28"
"361"	"chr1"	"6276397"	"6282474"	"6078"	"*"	"116"
"362"	"chr1"	"6294840"	"6295095"	"256"	"*"	"24"
"363"	"chr1"	"6300520"	"6303873"	"3354"	"*"	"48"
"364"	"chr1"	"6306324"	"6306735"	"412"	"*"	"25"
"365"	"chr1"	"6329994"	"6330926"	"933"	"*"	"33"
"366"	"chr1"	"6343977"	"6345705"	"1729"	"*"	"25"
"367"	"chr1"	"6359614"	"6363437"	"3824"	"*"	"67"
"368"	"chr1"	"6385553"	"6386280"	"728"	"*"	"35"
"369"	"chr1"	"6391979"	"6397740"	"5762"	"*"	"146"
"370"	"chr1"	"6404783"	"6404921"	"139"	"*"	"22"
"371"	"chr1"	"6416799"	"6420628"	"3830"	"*"	"116"
"372"	"chr1"	"6423517"	"6428180"	"4664"	"*"	"147"
"373"	"chr1"	"6436127"	"6441192"	"5066"	"*"	"127"
"374"	"chr1"	"6444494"	"6445362"	"869"	"*"	"30"
"375"	"chr1"	"6447875"	"6452449"	"4575"	"*"	"89"
"376"	"chr1"	"6454450"	"6456733"	"2284"	"*"	"182"
"377"	"chr1"	"6460105"	"6474979"	"14875"	"*"	"200"
"378"	"chr1"	"6486467"	"6498445"	"11979"	"*"	"119"
"379"	"chr1"	"6519702"	"6521236"	"1535"	"*"	"45"
"380"	"chr1"	"6554218"	"6555545"	"1328"	"*"	"124"
"381"	"chr1"	"6576924"	"6581044"	"4121"	"*"	"95"
"382"	"chr1"	"6591263"	"6593935"	"2673"	"*"	"70"
"383"	"chr1"	"6596906"	"6604351"	"7446"	"*"	"277"
"384"	"chr1"	"6612441"	"6613674"	"1234"	"*"	"61"
"385"	"chr1"	"6620119"	"6626074"	"5956"	"*"	"153"
"386"	"chr1"	"6628376"	"6628714"	"339"	"*"	"34"
"387"	"chr1"	"6632970"	"6636221"	"3252"	"*"	"69"
"388"	"chr1"	"6700762"	"6702568"	"1807"	"*"	"89"
"389"	"chr1"	"6770861"	"6771771"	"911"	"*"	"22"
"390"	"chr1"	"6784024"	"6785486"	"1463"	"*"	"86"
"391"	"chr1"	"6958774"	"6964805"	"6032"	"*"	"112"
"392"	"chr1"	"6968124"	"6969302"	"1179"	"*"	"28"
"393"	"chr1"	"7042267"	"7044487"	"2221"	"*"	"24"
"394"	"chr1"	"7050985"	"7053393"	"2409"	"*"	"48"
"395"	"chr1"	"7058995"	"7065078"	"6084"	"*"	"150"
"396"	"chr1"	"7069928"	"7070566"	"639"	"*"	"53"
"397"	"chr1"	"7124385"	"7124806"	"422"	"*"	"32"
"398"	"chr1"	"7149606"	"7150992"	"1387"	"*"	"63"
"399"	"chr1"	"7233714"	"7235821"	"2108"	"*"	"59"
"400"	"chr1"	"7247900"	"7248391"	"492"	"*"	"27"
"401"	"chr1"	"7251010"	"7251201"	"192"	"*"	"20"
